Next,ProductId,Year,Month,Units,Avg,Count,Max,Min,Prev
0.0000,807,2018,3,1.0000,1.000000,1,1.0000,1.0000,0.0000
1.0000,808,2017,10,8.0000,2.666666,3,3.0000,2.0000,0.0000
0.0000,808,2017,11,1.0000,1.000000,1,1.0000,1.0000,8.0000
1.0000,810,2017,10,3.0000,1.500000,2,2.0000,1.0000,0.0000
0.0000,810,2017,12,1.0000,1.000000,1,1.0000,1.0000,3.0000
0.0000,811,2018,7,2.0000,2.000000,1,2.0000,2.0000,0.0000
1.0000,813,2018,1,6.0000,6.000000,1,6.0000,6.0000,0.0000
1.0000,813,2018,2,1.0000,1.000000,1,1.0000,1.0000,6.0000
6.0000,813,2018,4,1.0000,1.000000,1,1.0000,1.0000,1.0000
0.0000,813,2018,5,6.0000,6.000000,1,6.0000,6.0000,1.0000
1.0000,816,2017,9,2.0000,2.000000,1,2.0000,2.0000,0.0000
2.0000,816,2017,10,1.0000,1.000000,1,1.0000,1.0000,2.0000
2.0000,816,2018,2,2.0000,2.000000,1,2.0000,2.0000,1.0000
0.0000,816,2018,3,2.0000,2.000000,1,2.0000,2.0000,2.0000
2.0000,817,2017,9,95.0000,6.333333,15,30.0000,1.0000,0.0000
9.0000,817,2017,10,2.0000,2.000000,1,2.0000,2.0000,95.0000
144.0000,817,2017,11,9.0000,1.800000,5,4.0000,1.0000,2.0000
30.0000,817,2018,2,144.0000,36.000000,4,80.0000,9.0000,9.0000
2.0000,817,2018,3,30.0000,15.000000,2,20.0000,10.0000,144.0000
10.0000,817,2018,4,2.0000,1.000000,2,1.0000,1.0000,30.0000
48.0000,817,2018,5,10.0000,2.000000,5,4.0000,1.0000,2.0000
7.0000,817,2018,6,48.0000,9.600000,5,40.0000,1.0000,10.0000
2.0000,817,2018,7,7.0000,2.333333,3,4.0000,1.0000,48.0000
5.0000,817,2018,8,2.0000,1.000000,2,1.0000,1.0000,7.0000
0.0000,817,2018,9,5.0000,2.500000,2,4.0000,1.0000,2.0000
6.0000,818,2017,9,131.0000,26.200000,5,80.0000,1.0000,0.0000
21.0000,818,2017,10,6.0000,3.000000,2,4.0000,2.0000,131.0000
6.0000,818,2018,1,21.0000,7.000000,3,17.0000,2.0000,6.0000
60.0000,818,2018,3,6.0000,6.000000,1,6.0000,6.0000,21.0000
117.0000,818,2018,4,60.0000,60.000000,1,60.0000,60.0000,6.0000
10.0000,818,2018,5,117.0000,39.000000,3,100.0000,7.0000,60.0000
13.0000,818,2018,6,10.0000,10.000000,1,10.0000,10.0000,117.0000
26.0000,818,2018,7,13.0000,6.500000,2,10.0000,3.0000,10.0000
50.0000,818,2018,8,26.0000,13.000000,2,20.0000,6.0000,13.0000
0.0000,818,2018,9,50.0000,50.000000,1,50.0000,50.0000,26.0000
2.0000,819,2017,9,8.0000,2.000000,4,3.0000,1.0000,0.0000
1.0000,819,2017,11,2.0000,1.000000,2,1.0000,1.0000,8.0000
2.0000,819,2018,2,1.0000,1.000000,1,1.0000,1.0000,2.0000
3.0000,819,2018,4,2.0000,2.000000,1,2.0000,2.0000,1.0000
3.0000,819,2018,6,3.0000,1.500000,2,2.0000,1.0000,2.0000
3.0000,819,2018,7,3.0000,1.500000,2,2.0000,1.0000,3.0000
2.0000,819,2018,8,3.0000,1.500000,2,2.0000,1.0000,3.0000
0.0000,819,2018,9,2.0000,2.000000,1,2.0000,2.0000,3.0000
